Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
लौहित,lauhita,masculine,"लौहितः [lauhitḥ], The trident of Śiva. व",शिव का त्रिशूल
उज्जृम्भ्,ujjrimbh,unknown,"उज्जृम्भ् [ujjṛmbh], 1 Ā.","प्रकट होना, उदय होना, फूटना"
अवध्यान,avadhyaana,masculine,"अवध्यानम् [avadhyānam], Disregard; यथा तरे सदवध्यानमंहः Bhāg. 5.1.24.",तिरस्कार
अनुगर्ज्,anugarj,unknown,"अनुगर्ज् [anugarj], 1 P. To roar after or in imitation of.","बदले में गड़गड़ाना, गूंजना"
प्रभञ्जन,prabhanyjana,masculine,"प्रभञ्जनम् [prabhañjanam], Breaking to pieces. -नः Wind, especially stormy wind, hurricane; प्रभञ्जनाध्येयजवेन वाजिना N.1.67; तृणानि नोन्मूलयति प्रभञ्जनः Pt.1.22. -a. Destroying; ... पुत्रं देहि सुरोत...",टुकड़े टुकड़े करना
अथ,atha,indeclinable,"अथ [atha], (Ved. अथा) ind. [अर्थ्-ड, पृषोद˚ रलोपः Tv.] A particle used at the beginning (of works) mostly as a sign of auspiciousness, and translated by 'here', 'now' (begins) (मङ्गल, आरम्भ, अधिकार) (...","यहाँ, अब, मंगल, आरम्भ, अधिकार"
दा,daa,unknown,"दा [dā], I. 1 P. (यच्छति, दत्त] To give, grant. -With प्रति to exchange; तिलेभ्यः प्रतियच्छति माषान् Sk. -II. 2. P. (दाति) To cut; ददाति द्रविणं भूरि दाति दारिद्र्यमर्थिनाम् K. R. -III. 4 P. (दायति) T...","देना, स्वीकार करना"
निहनन,nihanana,masculine,"निहननम् [nihananam], Killing, slaughter.","वध, हत्या"
निवसन,nivasana,masculine,"निवसनम् [nivasanam], 1 A house, habitation, dwelling; निवसनं श्मशानम् Ā. L.16.","गृह, आवास, निवास-स्थान"
संहृत,samhrita,unknown,"संहृत [saṃhṛta], p. p.",मिलाकर खींचा हुआ
टङ्गा,tanggaa,feminine,"टङ्गा [ṭaṅgā], The leg.","टाँग, लात, पैर"
पिशुनित,pishunita,adjective,"पिशुनित [piśunita], p. p. Betrayed, shown.","प्रकट किया गया, प्रदर्शित"
मिश्,mish,unknown,"मिश् [miś], 1 P. (मेशति)","शोर करना, कोलाहल करना"
धरणि,dharani,feminine,"धरणिः [dharaṇiḥ] णी [ṇī], णी f. [धृ-अनि वा ङीप्]",पृथ्वी
ओ,o,masculine,"ओ [ō], m. (औः) N. of Brahmā. ind.",ब्रह्मा
पालाश,paalaasha,adjective,"पालाश [pālāśa], a. (-शी f.) [पलाश-अण्]","ढाक का, ढाक से उत्पन्न"
विष्पन्द,vishpanda,masculine,"विष्पन्दः [viṣpandḥ], 1 Throbbing, palpitation.","धड़कन, स्पन्दन, धक-धक होना"
दन्द्रम्यमाण,dandramyamaana,adjective,"दन्द्रम्यमाण [dandramyamāṇa], a. (frev. from द्रम्) going by different ways; दन्द्रम्यमाणाः परियन्ति मूढाः Kaṭh.1.2.5.",भिन्न-भिन्न दिशाओं में चक्कर काटता हुआ
जिज्ञासु,jijnyaasu,adjective,"जिज्ञासु [jijñāsu], a. [ज्ञा सन् उ]","जानने का इच्छुक, ज्ञानेप्सु, प्रश्नशील"
अपकृष्ट,apakrishta,adjective,"अपकृष्ट [apakṛṣṭa], p. p.","खींच कर बाहर किया गया, दूर हटाया गया"
सौगतिक,saugatika,masculine,"सौगतिकः [saugatikḥ], 1 A Buddhist.",बौद्ध
जृम्भ्,jrimbh,unknown,"जृम्भ् [jṛmbh], 1 Ā. (जृम्भते, जृम्भित, जृब्ध)","उबासी लेना, जमुहाई लेना,"
अविधेय,avidheya,adjective,"अविधेय [avidhēya], a. Unmanageable, adverse; विधेरविधेयताम् Mu.4.2; हर्षविषादयोरविधेयत्वम् Dk.161 not being influenced or swayed by &c.","जिसे वश में न किया जा सके, विपरीत"
प्रतिश्रुत,pratishruta,unknown,"प्रतिश्रुत [pratiśruta], p. p. Promised, agreed, assented to. -तम् A promise.","वचन दिया हुआ, सहमत, हामी भरी हुई"
पद्मक,padmaka,masculine,"पद्मकम् [padmakam], 1 An army arrayed in the form of a lotusflower.",कमलफूल के आकार की व्यूहरचना में स्थित सेना
पोतायित,potaayita,masculine,"पोतायितम् [pōtāyitam], p. p. of the denominative of पोत; an elephant's roar produced with the lips and (or) soft palate; तत् पोतायितमोष्ठतालुजनितम् Mātaṅga L.2.13.",शिशु की भाँति आचरण करना
आरू,aaruu,adjective,"आरू [ārū], a. Of a tawny colour. -रू m.",भूरे रंग का
रास,raasa,masculine,"रासः [rāsḥ], 1 An uproar, a din, confused noise.",लघु' शब्द की उ* अ*
सुष्ठु,sushthu,indeclinable,"सुष्ठु [suṣṭhu], ind.","अच्छा, उत्तमता के साथ, सुन्दरता से"
ध्याम,dhyaama,adjective,"ध्याम [dhyāma], a. Unclean, dirty, black, soiled; Bk.8.71. -मम् A kind of grass.","अस्वच्छ, मैला, काला, मलिन"
नासिका,naasikaa,feminine,"नासिका [nāsikā], [नास्-ण्वुल्]",नाक
अव्ययीभाव,avyayiibhaava,masculine,"अव्ययीभावः [avyayībhāvḥ], [अनव्ययमव्ययं भवत्यनेन; अव्यय-च्वि-भू करणे घञ्]",संस्कृतभाषा के चार मुख्य समासों में से एक
वेधनिका,vedhanikaa,feminine,"वेधनिका [vēdhanikā], A sharp-pointed instrument for perforating shells and jewels, a gimblet.",हाथी का कान बींधने वाला उपकरण
कुपिन्द,kupinda,masculine,"कुपिन्द [kupinda], See कुविन्द.",बुनकर
परिगणन,pariganana,masculine,"परिगणनम् [parigaṇanam] ना [nā], ना Complete enumeration, accurate statement or calculation; श्रेणीभूताः परिगणनया निर्दिशन्तो बलाकाः Me. (considered as an interpolation or क्षेपक by Malli.)","पूर्ण गिनती, सही वर्णन या हिसाब"
वैजनन,vaijanana,masculine,"वैजननम् [vaijananam], The last month of pregnancy.",गर्भ का अन्तिम मास
पिब,piba,adjective,"पिब [piba], a. What drinks नलच्छायपिबापि; दृष्टिः N.6.34;9. 124;16.9.",पीने वाला
पौरुष,paurusha,adjective,"पौरुष [pauruṣa], a. (-षी f.) [पुरुष अण्]","पुरुष संबंधी, मानवी"
अतिवर्तिन्,ativartin,adjective,"अतिवर्तिन् [ativartin], a.","पार करने वाला, दूसरों से आगे निकलने वाला, आगे बढ़ने वाला, अतिक्रमण करने वाला, उल्लंघन करने वाला"
धुर्य,dhurya,adjective,"धुर्य [dhurya], a. [धुरं वहति, यत्]",बोझा सँभालने के योग्य
प्रवृत्,pravrit,unknown,"प्रवृत् [pravṛt], 1 Ā.","आगे चलना, चलते जाना, प्रगति करना"
अमोघ,amogha,adjective,"अमोघ [amōgha], a.","अचुक, ठीक निशाने पर लगने वाला"
चन्द,chanda,unknown,"चन्द [canda], 1 The moon; L. D. B.","चमकना, प्रसन्न होना, खुश होना"
उपकुञ्चि,upakunychi,feminine,"उपकुञ्चिः [upakuñciḥ] ञ्चिका [ñcikā], ञ्चिका 1 The plant Nigella Indica (कृष्ण- जीरक).",छोटी इलायची
अभिक्रुश्,abhikrush,adjective,"अभिक्रुश् [abhikruś], 1 P.",विलाप करना
विष्टब्ध,vishtabdha,adjective,"विष्टब्ध [viṣṭabdha], p. p.","पक्का जमाया हुआ, भली भांति आश्रित"
अक्षणिक,akshanika,adjective,"अक्षणिक [akṣaṇika], a. [न. त.] Steady, firm, not frail or transitory; steadfast (as gaze or look).","स्थिर, दृढ़, जो चंचल न हो, जो थोड़ी देर रहने वाला न हो दृढ़तापूर्वक जमा हुआ"
ऐकपदिक,aikapadika,adjective,"ऐकपदिक [aikapadika], a. (-की f.)",एक पद से संबंध रखने वाला
बोधित,bodhita,unknown,"बोधित [bōdhita], p. p. [बुध्-णिच् क्त]","जताया गया, सूचित किया गया, अवगत कराया गया"
उत्प्रेक्षित,utprekshita,adjective,"उत्प्रेक्षित [utprēkṣita], a. Compared (as in a simile). -Comp. उपमा A kind of उपमा.",तुलना की गई
अमेदस्क,amedaska,adjective,"अमेदस्क [amēdaska], a. Fatless, lean.","जिसमे चर्बी न हो,दुबला- पतला।"
कुट्टिहारिका,kuttihaarikaa,feminine,"कुट्टिहारिका [kuṭṭihārikā], A maid-servant, slave; cf. कुटहारिका.","सेविका, दासी"
प्रात्ययिक,praatyayika,adjective,"प्रात्ययिक [prātyayika], a. (-की f.)","भरोसे का, विश्वासपात्र"
तद्वत्,tadvat,adjective,"तद्वत् [tadvat], a. Containing or possessed of that; as in तद्वान- पोहः K. P.2. -ind.","उससे युक्त, उसको रखने वाला, जैसा कि ‘तद्वानपोहः' में"
तीवर,tiivara,masculine,"तीवरः [tīvarḥ], 1 The ocean.",समुद्र
नस्य,nasya,adjective,"नस्य [nasya], a. [नासिकायै हितं तत्र भवं वा यत् नसादेशः] Nasal.",अनुनासिक
प्रातिकामिन्,praatikaamin,masculine,"प्रातिकामिन् [prātikāmin], A servant or messenger.",सेवक या दूत
हंसिका,hamsikaa,feminine,"हंसिका [haṃsikā] हंसी [haṃsī], हंसी A female goose.","हंसनी, मादा हंस"
प्रयाचन,prayaachana,masculine,"प्रयाचनम् [prayācanam], Begging, requesting, imploring.","माँगना, प्रार्थना करना, गिड़गिड़ाना"
अपिपरिक्लिष्ट,apipariklishta,adjective,"अपिपरिक्लिष्ट [apiparikliṣṭa], a. Excessively harassed अपि चापिपरि- क्लिष्टं चिराद्दारैः समागतम् । आत्मकार्यगरीयस्त्वाद्वक्तुं नेच्छामि वानरम् ॥ Rām.4.28.61.","अत्यन्त उत्पीडित, तंग किया हुआ"
पण्डावत्,pandaavat,masculine,"पण्डावत् [paṇḍāvat], a. Wise; पण्डावदग्रिम Aśvad.6. -m. A learned man.","बुद्धिमान्, विद्वान्"
विशोधन,vishodhana,masculine,"विशोधनम् [viśōdhanam], 1 Cleaning, clearing (fig. also); राज्य- कण्टकविशोधनोद्यतः Vikr.5.1.","शुद्ध करना, स्वच्छ करना"
किरीटिन्,kiriitin,adjective,"किरीटिन् [kirīṭin], a. [किरीट-इनि] Wearing a crown or diadem; Bg.11.17, किरीटिनं गदिनं चक्रहस्तमिच्छामि त्वां द्रष्टुमहं तथैव 46; Pt.3. (-m.) N. of Arjuna; एतच्छ्रुत्वा वचनं केशवस्य कृताञ्जलिर्वेपमानः...",ताज या मुकुट पहनने वाला
कर्णेचुरचुरा,karnechurachuraa,feminine,"कर्णेचुरचुरा [karṇēcuracurā], f. A secret whispering in the ear.","कानाफूसी,कान में कोई रहस्य की बात कहना"
कार्त्स्न्य,kaartsnya,masculine,"कार्त्स्न्यम् [kārtsnyam], Totality; entirety; तान्निबोधत कार्त्स्न्येन द्विजा- ग्ऱ्यान् पङ्क्तिपावनान् Ms.3.183. ताः क्रियाः कञ्चित् कार्त्स्न्येन करोति कश्चिदकार्त्स्न्येन Mbh. on P.III.1.22; of अन्...","पूर्णता, समग्रता, समूचापन"
औपमिक,aupamika,adjective,"औपमिक [aupamika], a. (-की f.) [उपमा-ठक्]",तुलना या उपमान का काम देने वाला
विश्रम्भ्,vishrambh,adjective,"विश्रम्भ् [viśrambh], 1 Ā. To confide, place confidence in; विश्रम्भतस्त्वयि निवेशितसर्वकार्यम् Mu.5.7; see विश्रब्ध below.-Caus. To inspire confidence in (a person), console, encourage.","विश्वास करना, भरोसा करना"
पाल,paala,masculine,"पालः [pālḥ], 1 [पाल्-अच्] A protector, guardian, keeper; as in गोपालः, वृष्णिपालः, &c.","प्ररक्षक, अभिभावक, संरक्षक"
बर्बणा,barbanaa,feminine,"बर्बणा [barbaṇā], A blue fly.",नीली मक्खी
विवेक,viveka,masculine,"विवेकः [vivēkḥ], 1 Discrimination, judgment, discernment, discretion; काश्यपि यातस्तवापि च विवेकः Bv.1.68,66; ज्ञातो$यं जलधर तावको विवेकः 96; विवेकभ्रष्टानां भवति विनिपातः शतमुखः Bh.2.1.","विवेचन, निर्धारण, विचारणा, विज्ञता"
निभूत,nibhuuta,adjective,"निभूत [nibhūta], a.",अत्यन्त भीत
आशुशुक्षणि,aashushukshani,masculine,"आशुशुक्षणि [āśuśukṣaṇi], a. [आ शष् सन् अनि Uṇ.2.12]","वायु, हवा"
अनुदर्शन,anudarshana,masculine,"अनुदर्शनम् [anudarśanam], Inspection, survey; उत्थितश्चाप्रमत्तश्च बलानाम- नुदर्शने Rām.; consideration, regard; जन्ममृत्युजराव्याधिदुःख- दोषानुदर्शनम् Bg.13.8 perception.",निरीक्षण
शिरस्,shiras,masculine,"शिरस् [śiras], n. [शॄ-असुन् निपातः Uṇ.4.193]",सिर
स्तभ्,stabh,unknown,"स्तभ् [stabh], स्तम्भ् (स्तम्भ् [stambh], 1 Ā.; 5, 9 P. (स्तम्भते, स्तभ्नोति, स्तभ्नाति, स्तम्भित or स्तब्ध; the स् of the root being changed to ष् after prepositions ending...).","रोकना, बाधा डालना, पकड़ना, दबाना"
अवरोधक,avarodhaka,adjective,"अवरोधक [avarōdhaka], a.",बाधा डालने वाला
सौमनस्यायनी,saumanasyaayanii,feminine,"सौमनस्यायनी [saumanasyāyanī], 1 The blossom of the Mālatī creeper.",मालती लता की मंजरी
क्षुधित,kshudhita,adjective,"क्षुधित [kṣudhita], a. Hungry; तस्यालमेषा क्षुधितस्य तृप्त्यै R.2.3",भूखा
आतप्त,aatapta,adjective,"आतप्त [ātapta], a. Refined by heat (as gold).","गर्म किया हुआ, आग में तपाया हुआ"
अध,adha,indeclinable,"अध [adha] अधा [adhā], अधा ind. Ved. Used like अथ as an inceptive particle in the sense of 'now', 'then', 'afterwards', 'moreover', 'and', 'partly', 'so much the more' &c.","तले, नीचे, निम्नप्रदेश मे, नारकीय प्रदेशों में या नरक में"
असावधान,asaavadhaana,adjective,"असावधान [asāvadhāna], a. Careless, inadvertent.","उपेक्षा करने वाला, प्रमादी, लापरवाह"
विन्न,vinna,adjective,"विन्न [vinna], p. p. [विद् कर्मणि क्त]",ज्ञात
अभिभाष्,abhibhaash,unknown,"अभिभाष् [abhibhāṣ], 1 A. (P. in epic poetry)","बोलना,भाषण देना"
निर्व्युषित,nirvyushita,adjective,"निर्व्युषित [nirvyuṣita], a. Spent, passed away.","व्यय किया गया, बीत गया, अतीत"
कूज्,kuuj,unknown,"कूज् [kūj], 1 P. (कूजति, कूजित) To make any inarticulate sound, hum, coo, warble; कूजन्तं राम रामेति मधुरं मधुराक्षरम् Rām.; पुंस्कोकिलो यन्मधुरं चुकूज Ku.3.32; Ṛs.6.22; R.2.12; N.1.127; कूजत्त्क्लान्...","अस्पष्ट ध्वनि करना, गूंजना, कूजना, कूकना"
पौरोहित्य,paurohitya,masculine,"पौरोहित्यम् [paurōhityam], The office of a family-priest; नरकाय मतिस्ते चेत् पौरोहित्यं समाचर Pt.2.63.","कुलपुरोहित का पद, पुरोहिताई"
अभीशाप,abhiishaapa,masculine,"अभीशापः [abhīśāpḥ], A curse; see अभिशाप.",कोसना
अर्णस्,arnas,masculine,"अर्णस् [arṇas], n. [ऋ-असुन्-नुट् Untod;.4.196]",जल
पराकृ,paraakri,unknown,"पराकृ [parākṛ], 8 U. To reject, disregard, slight, take no notice of; तां हनूमान् पराकुर्वन्नगमत् पुष्पकं प्रति Bk.8.5.","अस्वीकार करना, अवहेलना करना, निरादर करना, ख्याल नहीं करना"
होलाका,holaakaa,feminine,"होलाका [hōlākā], 1 The spring-festival celebrated at the approach of the spring season, during the ten - but particularly three or four - days preceding the fullmoon day in the month of Phālguna (comm...","वसन्त ऋतु के आने पर मनाया गया वसन्तोत्सव, फाल्गुन मास की पूर्णिमा से पूर्व के दस दिन,विशेषतः तीन या चार दिन (इसी पर्व को हम `होली' कहते हैं)"
क्रियमाणक,kriyamaanaka,masculine,"क्रियमाणकम् [kriyamāṇakam], A literary essay; Bṛi. S.1.5.",साहित्यिक निबन्ध
दीर्घ,diirgha,adjective,"दीर्घ [dīrgha], a. (Compar. द्राघीयस्, Superl. द्राघिष्ठ)","लम्बा, दूर तक पहुँचने वाला"
घण्टा,ghantaa,feminine,"घण्टा [ghaṇṭā], [घण्ट्-अच्]",घंटी
कूणित,kuunita,adjective,"कूणित [kūṇita], a.","बन्द, मुँदा हुआ"
मारिच,maaricha,adjective,"मारिच [mārica], a. (-ची f.) Made of pepper.",मिर्च का बना हुआ
कडेर,kadera,masculine,"कडेर [kaḍēra], N. of a country चोडः, कडेरः, केरलः Mbh. on P.IV.1.175.",एक देश का नाम
विजृम्भ्,vijrimbh,adjective,"विजृम्भ् [vijṛmbh], 1 Ā.","खुलना, खिलना"
कटकिन्,katakin,masculine,"कटकिन् [kaṭakin], m. A mountain.",पहाड़
उड्डीन,uddiina,unknown,"उड्डीन [uḍḍīna], p. p. Flown up, flying up.","उड़ा हुआ, ऊपर उड़ता हुआ"
शैलक,shailaka,masculine,"शैलकम् [śailakam], 1 Benzoin.","शैलेयगन्ध द्रव्य, धूप"
सनिकार,sanikaara,adjective,"सनिकार [sanikāra], a. Degrading (as punishment).",अपमानजनक
सिन्धु,sindhu,masculine,"सिन्धुः [sindhuḥ], [स्यन्द्-द्-अद् संप्रसारणं दस्य धश्च Tv.; Uṇ.1.11]","समुद्र, सागर"
पर्वन्,parvan,masculine,"पर्वन् [parvan], n. [पॄ-वनिप् Uṇ.4.112.] पर्व स्यादुत्सवे ग्रन्थौ प्रस्तावे लक्षणान्तरे' इति विश्वः.","गांठ, जोड़"
अवतमस,avatamasa,masculine,"अवतमसम् [avatamasam], [अवततं व्याप्तं तमः अच्समासः अवसम्न्धेभ्यस्तमसः P.V.4.79]","झुटपुटा, अल्पांधकार, अन्धकार"
कर्पटिक,karpatika,adjective,"कर्पटिक [karpaṭika] न् [n], न् a. Covered with ragged garments.",जीर्ण-शीर्ण कपड़ों से ढका हुआ
अशून्य,ashuunya,adjective,"अशून्य [aśūnya], a. Not empty or vacant; तस्य निन्यतुरशून्यतामुभे R.19.13; occupied.",जो रिक्त या शून्य न हो
श्रपण,shrapana,masculine,"श्रपणम् [śrapaṇam] णा [ṇā], णा Causing to boil, boiling, seething. -णः Cooking fire. (आहवनीय or गार्हपत्य).","उबलवाना, गरम करना"
आध्यापक,aadhyaapaka,masculine,"आध्यापकः [ādhyāpakḥ], [अध्यापक एव स्वार्थे अण्] A teacher, a spiritual preceptor.","शिक्षक, धर्मोपदेष्टा, दीक्षा-गुरु"
समुच्चि,samuchchi,unknown,"समुच्चि [samucci], 5 U.","संग्रह करना, जोड़ना"
उन्मन्थन,unmanthana,masculine,"उन्मन्थनम् [unmanthanam], 1 Shaking off, agitating.","हिलाना, क्षुब्ध करना"
मत्क,matka,adjective,"मत्क [matka], a. My, mine; संशृणुष्व कपे मत्कैः संगच्छस्व वनैः शुभैः Bk.8.16. -त्कः A bug.",मेरा
माधवीय,maadhaviiya,adjective,"माधवीय [mādhavīya], a. Relating to Mādhava.",माधवसंबंधी
जीव्,jiiv,adjective,"जीव् [jīv], 1 P. (जीवति, जीवित)","जीना, जीवित रहना"
भाविक,bhaavika,adjective,"भाविक [bhāvika], a. (-की f.) [भावेन निर्वृत्तं ठक्]","प्राकृतिक, वास्तविक, , अन्तर्हित, अन्तर्जात"
प्रधी,pradhii,adjective,"प्रधी [pradhī], a. Pre-eminently intelligent. -f. Great intelligence.",कुशाग्रबुद्धि
विक्रमित,vikramita,masculine,"विक्रमितम् [vikramitam], Prowess; निष्पेततुः परमविक्रमितातिवेपस्कन्धप्रवाल- विटपौ कृतचण्डशब्दौ Bhāg.1.1.27.","पराक्रम,शौर्य"
सक्तु,saktu,masculine,"सक्तु [saktu], m. pl. [सञ्ज्-तुन् किच्च] The flour of barley first fried and then ground, barley-meal; भिक्षासक्तुभिरेव संप्रति वयं वृत्तिं समीहामहे Bh.3.64. -Comp. -फला, -ली the Śamī tree.","सत्तू, जौ को भून कर फिर पीस कर बनाया हुआ आटा, जौ से तैयार किया गया भोजन"
अरविन्दिनी,aravindinii,feminine,"अरविन्दिनी [aravindinī], 1 A lotus plant; प्रपीतमधुका भृङ्गैः सुदिवेवार- विन्दिनी Bk.5.7.",कमल का पौधा
वृष्टि,vrishti,feminine,"वृष्टिः [vṛṣṭiḥ], f. [वृष्-क्तिन्]","बारिश, बारिश की बौछार"
अन्ववसित,anvavasita,adjective,"अन्ववसित [anvavasita], a. Connected with, bound or fastened to.","संयुक्त, संबद्ध, बंधा हुआ"
प्रत्यस्त,pratyasta,adjective,"प्रत्यस्त [pratyasta], p. p. Thrown off, given up; प्रत्यस्तव्यसने मही- यसि परं प्रीतोी$स्मि जामातरि Māl.1.23.","फेंका हुआ, छोड़ा हुआ"
सृत्वर,sritvara,adjective,"सृत्वर [sṛtvara], a. (-री f.) Going, moving.","जाने वाला, सरणशील"
बहिष्कार्य,bahishkaarya,adjective,"बहिष्कार्य [bahiṣkārya], a. To be removed or excluded from; स साधुभिर्बहिष्कार्यो नास्तिको वेदनिन्दकः Ms.2.11,13.",निकाल बाहर फेंकने के योग्य
गमिन्,gamin,adjective,"गमिन् [gamin], a. Intending to go; as in ग्रामंगमी. -m. A passenger.",जाने के विचार वाला
प्रख्य,prakhya,adjective,"प्रख्य [prakhya], a.","साफ, प्रत्यक्ष, स्पष्ट"
संकॄ,samkrii,unknown,"संकॄ [saṅk]ॄ, 6 P.","मिलाना, सम्मिश्रण करना, एक स्थान पर गड्डमड्ड करना"
निश,nisha,unknown,"निश [niśa] शा [śā] रणम् [raṇam], (शा) रणम् Killing, slaughter.","देखना, अवलोकन करना"
अनुघट्ट्,anughatt,unknown,"अनुघट्ट् [anughaṭṭ], To stroke, to rub lengthwise.","लम्बाई की ओर से सहलाना, रगड़ना"
प्रत्याय,pratyaaya,masculine,"प्रत्यायः [pratyāyḥ], 1 A toll, tax.","चुंगी, कर"
प्रपूरण,prapuurana,masculine,"प्रपूरणम् [prapūraṇam], 1 Filling, filling up, completing.","पूरा करना, भरना, पूर्ति करना"
समीक,samiika,masculine,"समीकम् [samīkam], War, battle; निद्राप्रियो यः खलु कुम्भकर्णो हतः समीके स रघूत्तमेन Subhāṣ.; सुदृशः समीकगमनाय युवभिरथ संवभाषिरे Śi.15.83.","संग्राम, युद्ध"
अविप्रतिपत्ति,avipratipatti,feminine,"अविप्रतिपत्तिः [avipratipattiḥ], f. Absence of discrepancy; शब्दस्पर्शरूप- रसगन्धेष्वविप्रतिपत्तिः इन्द्रियजयः Kau. A.1.6.",मतभिन्नता का अभाव
पङ्गुल,panggula,adjective,"पङ्गुल [paṅgula], a. Lame, crippled; चक्षुषा विप्रहीणस्य पङ्गुलस्य जडस्य वा । हरेत यो वै सर्वस्वं तं विद्याद् ब्रह्मघातिनम् ॥","लङ्गड़ा, विकलांग"
पिण्याक,pinyaaka,masculine,"पिण्याकः [piṇyākḥ] कम् [kam], कम् 1 Oil-cake; कणान् वा भक्षयेदब्दं पिण्याकं वा सकृन्निशि Ms.11.92; Bhāg.5.9.11.",खल (तिल या सरसों की)
विरूक्षण,viruukshana,masculine,"विरूक्षणम् [virūkṣaṇam], 1 Roughening.",रूखा करना
परिवृत,parivrita,adjective,"परिवृत [parivṛta], p. p.","घिरा हुआ, परिवेष्टित, सेवित"
वितत,vitata,adjective,"वितत [vitata], p. p.","फैलाया हुआ, विस्तृत किया हुआ, बिछाया हुआ"
आचरण,aacharana,masculine,"आचरणम् [ācaraṇam], 1 Practising, doing, performing, following, observing; धर्म˚, मंगल˚ &c.","अभ्यास करना, अनुकरण करना, अनुष्ठान"
शारदिक,shaaradika,masculine,"शारदिकः [śāradikḥ], 1 Autumnal sickness.",शरत्कालीन या वार्षिक श्राद्ध
सारणा,saaranaa,feminine,"सारणा [sāraṇā], 1 A kind of process to which metals. particularly mercury, are subjected.",धातुओं की विशेष कर पारे की एक प्रकार की प्रक्रिया
अवितृ,avitri,adjective,"अवितृ [avitṛ], a. A protector, favourer; त्रातारमिन्द्रमवितारमिन्द्रम् Mahanār. Up.2.3; Mb.12.",प्ररक्षक
विपुष्ट,vipushta,adjective,"विपुष्ट [vipuṣṭa], a. Ill-fed.","जिसे पूरा आहार न मिला हो,जिसे पूरा पोषण न मिला हो"
दर्वट,darvata,masculine,"दर्वटः [darvaṭḥ], 1 A village constable, a police-officer.","गाँव का पहरेदार, पुलिस अधिकारी"
दर्दर,dardara,masculine,"दर्दर [dardara], a. Cracked, broken.",पहाड़
प्रजनुक,prajanuka,masculine,"प्रजनुकः [prajanukḥ], The body.","शरीर, काया"
समुदय,samudaya,masculine,"समुदयः [samudayḥ], 1 Ascent, rising up (of the sun).","चढ़ाई, (सूर्य का) उदय होना"
ईषीका,iishiikaa,feminine,"ईषीका [īṣīkā], 1 A painter's brush.",रंगसाज की कूँची
अनुज्ञात,anujnyaata,adjective,"अनुज्ञात [anujñāta], p. p.","शिक्षित, शिक्षाप्राप्त"
अपकौशली,apakaushalii,feminine,"अपकौशली [apakauśalī], News, information.","समाचार, सूचना"
क,ka,masculine,"क [k], A Taddhita affix added to nouns and adjectives, mostly to the former, in the sense of diminution, deterioration, similarity, endearment, or sometimes to express the original meaning of the word...",ब्रह्मा
वीर,viira,adjective,"वीर [vīra], [अजेः रक् वीभावश्च Uṇ.2.13] a.","शूर, वीर"
आशंसन,aashamsana,masculine,"आशंसनम् [āśaṃsanam], 1 Expecting, wishing; इष्टाशंसनमाशीः Sk.","प्रत्याशा, इच्छा"
चरि,chari,masculine,"चरिः [cariḥ], [चर्-इन्] An animal.","जीव, जन्तु"
आरङ्गर,aaranggara,masculine,"आरङ्गरः [āraṅgarḥ], A bee. आरङ्गरेव मध्वेरयेथे Rv.1.16.1.",मधुमक्खी
काषाय,kaashaaya,adjective,"काषाय [kāṣāya], (-यी f.) [कषायेण रक्तं अण् तेव रक्तं रागात् P.IV.2.1.] Red, dyed of a reddish colour; काषाय- वसनाधवा Ak. -यम् A red cloth or garment; सीता काषायवासिनी Rām.7.97.13. इमे काषाये गृहीते M....","लाल, गेरुए रंग में रंगा हुआ"
प्रातिपदिक,praatipadika,masculine,"प्रातिपदिक [prātipadika], a. Express, explicit. -कः Fire. -कम् The crude form of a substantive, a noun in its uninflected state (before receiving the case-terminations); अर्थवद- धातुरप्रत्ययः प्रातिपद...",अग्नि
कुशल,kushala,adjective,"कुशल [kuśala], a.","सही, उचित, मंगल शुभ"
शततम,shatatama,adjective,"शततम [śatatama], a. (-मी f.) One-hundredth.",सौवाँ
अदेय,adeya,adjective,"अदेय [adēya], a. Not to be given; what cannot or ought not to be given away; अदेयमासीत्त्रयमेव भूपतेः R.3.16. -यम् That which it is not right or necessary to give-wife, sons, deposits, and a few other...","जो देने के लिये न हो, जो दिया न जा सके, जो दिया न जाना चाहिए"
उरीकृ,uriikri,unknown,"उरीकृ [urīkṛ], 8 U.","अनुमति देना, अनुज्ञा देना, स्वीकृति देना"
लक्षशस्,lakshashas,indeclinable,"लक्षशस् [lakṣaśas], ind. By hundreds of thousands, i. e. in large numbers.",लाख- लाख करके बडी संख्या में
परिषेक,parisheka,masculine,"परिषेकः [pariṣēkḥ] परिषेचनम् [pariṣēcanam], परिषेचनम् 1 Sprinkling or pouring over, moistening.","पानी छिड़कना या उडेलना, गीला या तर करना"
स्यूम,syuuma,masculine,"स्यूमः [syūmḥ], A ray of light (also n.)",प्रकाश किरण
अन्य,anya,adjective,"अन्य [anya], a. [अन् अध्न्यादि˚ य; अन्यः, न्यस्मै, ˚स्मात्; n. अन्यत् &c.]","दूसरा, भिन्न, और सामान्यतः दूसरा, और"
म्लान,mlaana,unknown,"म्लान [mlāna], p. p. [म्लै-क्त तस्य नः]","मुर्झाया हुआ, कुम्हलाया हुआ"
विशस्त,vishasta,adjective,"विशस्त [viśasta], p. p.","काटा हुआ, चीरा हुआ"
