Sanskrit,Roman,Gender,English Meaning,Hindi Meaning
प्रक्रम,prakrama,masculine,"प्रक्रमः [prakramḥ], 1 A step, stride.","पग, कदम"
बाड्,baad,unknown,"बाड् [bāḍ], 1 Ā. (बाडते)",स्नान करना
कर्कर,karkara,adjective,"कर्करः [karkarḥ], a.","कठोर, ठोस"
कर्कशिका,karkashikaa,feminine,"कर्कशिका [karkaśikā] कर्कशी [karkaśī], कर्कशी Wild jujube.","जंगली बेर, झड़बेर"
भारत,bhaarata,adjective,"भारत [bhārata], a. (-ती f.) [भरतस्येदम्, भारतान् भरतवंश्यानधिकृत्य कृतो ग्रन्थः अण्] Belonging to or descended from Bharata.",भरत से संबन्ध रखने वाला या भरत की सन्तान
प्रविकीर्ण,pravikiirna,adjective,"प्रविकीर्ण [pravikīrṇa], p. p.","बखेरा हुआ, इधर उधर छितराया हुआ"
अङ्गुष्ठ्य,anggushthya,masculine,"अङ्गुष्ठ्यः [aṅguṣṭhyḥ], [अङ्गुष्ठे भवः छ] The thumb-nail.",अंगूठे का नाखून
सृप्,srip,unknown,"सृप् [sṛp], 1 P. (सर्पति, सृप्त; desid. सिसृप्सति)","रेंगना, पेट के बल चलना, शनैः शनैः सरकना"
पातव्य,paatavya,adjective,"पातव्य [pātavya], a.","पीने के योग्य, पेय"
नरक,naraka,masculine,"नरकः [narakḥ] कम् [kam], कम् 1 Hell, infernal regions (corresponding to the realm of Pluto; there are said to be 21 different parts of these regions where different kinds of tortures are inflicted upo...","दोज़ख, घृण्य प्रदेश"
इख्,ikh,unknown,"इख् [ikh] इङ्ख् [iṅkh], इङ्ख् 1 P. (एखति इङ्खति) To go, move; usually with प्र, q. v.","जाना, हिलना-डुलना"
परिचरण,paricharana,masculine,"परिचरणः [paricaraṇḥ], A servant, an attendant, assistant. -णम् (also परिचारणम्)","सेवक, टहलुवा, सहायक"
क्रीड्,kriid,unknown,"क्रीड् [krīḍ], 1. P. (क्रीडति, क्रीडित)","खेलना, मनोरंजन करना"
युवन्,yuvan,adjective,"युवन् [yuvan], a. [यौतीति युवा, यु-कनिन् Uṇ.1.154] (युवतिः -ती or यूनी f.; compar. यवीयस् or कनीयस्; superl. यविष्ठ or कनिष्ठ)","तरुण, जवान, वयस्क, परिपक्वावस्था को प्राप्त"
दण्डिन्,dandin,masculine,"दण्डिन् [daṇḍin], a. [दण्ड-अस्त्यर्थे इनि] Bearing or having a staff; न शक्या धर्मतो हन्तुं कालेनापीह दण्डिना Mb.9.61.66. -m.","चौथे आश्रम में स्थित ब्राह्मण, संन्यासी"
स्थली,sthalii,feminine,"स्थली [sthalī], 1 Dry ground, firm land.","सूखी जमीन, ढृढ़ भूमि"
आस्फुट्,aasphut,unknown,"आस्फुट् [āsphuṭ], 1 P. To agitate, shake; धृष्टमास्फोटयामास लङ्कां शब्देन पूरयन् Rām.5.43.6.","आन्दोलन करना, हिलाना"
सहस्रिन्,sahasrin,adjective,"सहस्रिन् [sahasrin], a.","हज़ार से युक्त, हजारी"
अनुष्टुभ्,anushtubh,feminine,"अनुष्टुभ् [anuṣṭubh], 1 P. (˚स्तुभ्) To praise after, follow in praising.","प्रशंसा में अनुगमन, वाणी"
दार्ष्टान्त,daarshtaanta,adjective,"दार्ष्टान्त [dārṣṭānta], a. (-ती f.), दार्ष्टान्तिक a. (-की f.) Explained or illustrated by a दृष्टान्त q. v., that which is the subject of an illustration (उपमेय); स्वापस्य दार्ष्टान्तिकत्वेन विवक्षि...","दृष्टान्त देकर समझाया गया या व्याख्या किया गया, सचित्र वर्णन का विषय अर्थात् उपमेय"
मृदित,mridita,unknown,"मृदित [mṛdita], p. p.","भींचा हुआ, निचोड़ा हुआ"
वर्धमान,vardhamaana,adjective,"वर्धमान [vardhamāna], a. [वृध्-शानच्] Growing, increasing.","विकशित होने वाला, बढ़ने वाला"
खोटि,khoti,masculine,"खोटिः [khōṭiḥ], f. A cunning or shrewd woman.",चालाक और चतुर स्त्री
लल्,lal,unknown,"लल् [lal], I. 1 U. (ललति-ते) To play, move about, sport, dally, frolic; पनसफलानीव वानरा ललन्ति Mk.8.8; गजकलभा इव बन्धुला ललामः 4.28; ललदजगरघोरकोटराणाम् Māl.5.15; युधि ललितमनायुधेन तेन Avimāraka 6.9. -...","खेलना,क्रीड़ा करना,इठलाना ,किलोल करना"
